ID Google Scholar,Name,Affiliation,Citations,Profile URL
ZmqSQ8oAAAAJ,Cecilia E. Nugraheni,Parahyangan Catholic University,189,https://scholar.google.com/citations?hl=en&user=ZmqSQ8oAAAAJ
baBIqHUAAAAJ,Tedi Hudaya,"A/Prof. of Chemical Engineering, Parahyangan Catholic University",185,https://scholar.google.com/citations?hl=en&user=baBIqHUAAAAJ
dhbU88UAAAAJ,Paulus Sukapto,Universitas Katolik Parahyangan,183,https://scholar.google.com/citations?hl=en&user=dhbU88UAAAAJ
5vCjpngAAAAJ,yohanes basuki dwisusanto,Universitas Katolik Parahyangan Bandung INDONESIA,174,https://scholar.google.com/citations?hl=en&user=5vCjpngAAAAJ
e1T_iAIAAAAJ,Bayu Seto Hardjowahono,Universitas Katolik Parahyangan,171,https://scholar.google.com/citations?hl=en&user=e1T_iAIAAAAJ
qBG-aisAAAAJ,Benny Yong,"Department of Mathematics, Parahyangan Catholic University",170,https://scholar.google.com/citations?hl=en&user=qBG-aisAAAAJ
KFNqLS0AAAAJ,Andreas Parama Wijaya,Universitas Katolik Parahyangan,170,https://scholar.google.com/citations?hl=en&user=KFNqLS0AAAAJ
laVPp4IAAAAJ,Sr. Gerardette Philips,Universitas Katolik Parahyangan,170,https://scholar.google.com/citations?hl=en&user=laVPp4IAAAAJ
luVj7MwAAAAJ,Fransiscus Rian Pratikto,Universitas Katolik Parahyangan,169,https://scholar.google.com/citations?hl=en&user=luVj7MwAAAAJ
nRAgmioAAAAJ,I Nyoman Sudira,Universitas Katolik Parahyangan,168,https://scholar.google.com/citations?hl=en&user=nRAgmioAAAAJ
-ZtaS0YAAAAJ,Herry Suryadi Djayaprabha,"Assistant Professor, Parahyangan Catholic Univerisity",168,https://scholar.google.com/citations?hl=en&user=-ZtaS0YAAAAJ
0oLc8OEAAAAJ,Farah Kristiani,"Researcher of Mathematics, Parahyangan Catholic University",165,https://scholar.google.com/citations?hl=en&user=0oLc8OEAAAAJ
4ur4qDcAAAAJ,"Dr. Fransiskus Borgias, MA",Universitas Katolik Parahyangan,165,https://scholar.google.com/citations?hl=en&user=4ur4qDcAAAAJ
Wrrf2IMAAAAJ,FX Rudi Setiawan,Universitas Katolik Parahyangan,163,https://scholar.google.com/citations?hl=en&user=Wrrf2IMAAAAJ
4yStGi8AAAAJ,Haryani Chandra,Universitas Katolik Parahyangan,163,https://scholar.google.com/citations?hl=en&user=4yStGi8AAAAJ
